# ClassName	Offset	Value	Hex	Type	SourceFile	Context
MUScalePanel	0x180	1	0x3f800000	hex_float	01ad2000.c	char local_28;      FUN_01a1cd40();   *(undefined8 *)(unaff_RDI + 0x180) = 0x3f800000;   *(undefined8 *)(u
MUScalePanel	0x29c	125	0x42fa0000	hex_float	01ad2000.c	naff_RDI + 400) = 0xfff0bdc0fff0bdc0;   *(undefined4 *)(unaff_RDI + 0x29c) = 0x42fa0000;   *(undefined2 *)(u
MUScalePitchSystem	0x14	0.69999999	0x3f333333	hex_float	01a1e750.c	)) || NAN(DAT_02390128))) {             *(undefined4 *)((longlong)puVar12 + 0x14) = 0x3f333333;             *(undef
MUScaleRegion	0x1c	1	0x3f8000003f800000	hex_float	0184b210.c	uVar24 + 7) = fVar47;                   *(undefined8 *)((longlong)puVar24 + 0x1c) = 0x3f8000003f800000;                   *
MUScaleStretchTuningCtrl	0x2d	2	0x40000000	hex_float	01b47100.c	FUN_00d50b20();       }     }     *(undefined4 *)(unaff_RDI + 0x2d) = 0x40000000;     FUN_01b46180();
MUSpectrumShaper	0x14	1	0x3f800000	hex_float	018753f0.c	*(int *)(puVar13 + 2) = local_9c;       *(undefined4 *)((longlong)puVar13 + 0x14) = 0x3f800000;       if (*(char *)
MUSpectrumShaper	0x184	0.60000002	0x3f19999a	hex_float	01b88cd0.c	}       } while( true );     }     *(undefined4 *)((longlong)unaff_RDI + 0x184) = 0x3f19999a;     pvVar13 = _pthr
MUSpectrumShaper	0x1ffc	0.00048851978	0x3a001002	hex_float	017ebde0.c	001ff4 + lVar1) = 0x3a0020083a003012;   *(undefined4 *)(lVar1 + 0x1ffc) = 0x3a001002;   return; }
MUSpectrumShaper	0x1ffc	0.00048851978	0x3a001002	hex_float	017ed3c0.c	001ff4 + lVar1) = 0x3a0020083a003012;   *(undefined4 *)(lVar1 + 0x1ffc) = 0x3a001002;   local_74 = 0; LAB
MUSpectrumShaper	0x7f4	0.0019646366	0x3b0080813b00c122	hex_float	017ed3c0.c	pvVar8 = (void *)0x3b0080813b00c122;   *(undefined8 *)(lVar14 + 0x7f4) = 0x3b0080813b00c122;   *(undefined4 *)(l
MUSpectrumShaper	0x7fc	0.0019569471	0x3b004020	hex_float	017ed3c0.c	lVar14 + 0x7f4) = 0x3b0080813b00c122;   *(undefined4 *)(lVar14 + 0x7fc) = 0x3b004020;   local_68 = '\0';
MUSpectrumShaper	0xb0	1	0x3f800000	hex_float	017ebde0.c	aff_RDI + 0xc4) = 0x3f8000003f800000;   *(undefined4 *)(unaff_RDI + 0xb0) = 0x3f800000;   *(undefined8 *)(u
MUSpectrumShaper	0xc4	1	0x3f8000003f800000	hex_float	017ebde0.c	(undefined2 *)(unaff_RDI + 0x7c) = 0;   *(undefined8 *)(unaff_RDI + 0xc4) = 0x3f8000003f800000;   *(undefined4 *)(u
MUTempoAnalyzerEvent	0x10	1	0x3f800000	hex_float	01602560.c	_bzero();   if ((int)uVar25 < 2) {     **(undefined4 **)(local_48 + 0x10) = 0x3f800000;     goto LAB_016027
MUVoiceMapperVoiceOption	0xc	1	0x3f800000	hex_float	015513a0.c	LAB_015524f9;             }             *(undefined4 *)(uVar20 + 0xc) = 0x3f800000;             *(uint
Unknown	0x10	400	0x43c80000	hex_float	014bd8e0.c	31[1] = fVar48;     }     else {       **(undefined4 **)(lVar1 + 0x10) = 0x43c80000;     }   }   else {
Unknown	0x10	1	0x3f800000	hex_float	018598b0.c	1_ = '\0';       FUN_00d21140();       **(undefined4 **)((longlong)local_68 + 0x10) = 0x3f800000;       if ((*(char *
Unknown	0x14	0.97747803	0x3f7a3c00	hex_float	0176a9c0.c	(lVar35 + 0x20) = 0x4104f330c0cb5760;   *(undefined4 *)(lVar35 + 0x14) = 0x3f7a3c00;   *(undefined4 *)(l
Unknown	0x14	0.1	0x3dcccccd	hex_float	0176a9c0.c	(lVar35 + 0x20) = 0x3f8000003f800000;   *(undefined4 *)(lVar35 + 0x14) = 0x3dcccccd;   *(undefined4 *)(l
Unknown	0x1c	5e-07	0x38d1b717350637bd	hex_float	0139d310.c	plVar23 + 3) = local_164;               *(undefined8 *)((longlong)plVar23 + 0x1c) = 0x38d1b717350637bd;               *(und
Unknown	0x1c	0.1	0x7fc000003dcccccd	hex_float	014e1210.c	14 + 3) = local_88._4_4_;               *(undefined8 *)((longlong)puVar14 + 0x1c) = 0x7fc000003dcccccd;               fStac
Unknown	0x1c	-0.97747803	0xbf7a3c00	hex_float	0176a9c0.c	ined4 *)(lVar35 + 0x14) = 0x3f7a3c00;   *(undefined4 *)(lVar35 + 0x1c) = 0xbf7a3c00;   FUN_00c8e690();
Unknown	0x1c	0.1	0x3dcccccd	hex_float	0176a9c0.c	ined4 *)(lVar35 + 0x14) = 0x3dcccccd;   *(undefined4 *)(lVar35 + 0x1c) = 0x3dcccccd;   uVar50 = FUN_0024
Unknown	0x1c	1	0x3f800000	hex_float	019452a0.c	220;         }         else {           *(undefined4 *)((longlong)local_40 + 0x1c) = 0x3f800000;           fVar12 =
Unknown	0x1c	1	0x3f800000	hex_float	019452a0.c	_02394220;       }       else {         *(undefined4 *)(local_70 + 0x1c) = 0x3f800000;         fVar9 = DAT
Unknown	0x1c	1	0x3f800000	hex_float	0196b4b0.c	}             else {               *(undefined4 *)((longlong)plVar8 + 0x1c) = 0x3f800000;               fVar1
Unknown	0x1c	1	0x3f800000	hex_float	0196b9b0.c	}             else {               *(undefined4 *)((longlong)plVar9 + 0x1c) = 0x3f800000;               fVar1
Unknown	0x1c	1	0x3f800000	hex_float	0196b9b0.c	}           else {             *(undefined4 *)((longlong)plVar9 + 0x1c) = 0x3f800000;             fVar11
Unknown	0x20	-6.3544159	0x4104f330c0cb5760	hex_float	0176a9c0.c	)(lVar35 + 0xc) = 0x40cb5760c104f330;   *(undefined8 *)(lVar35 + 0x20) = 0x4104f330c0cb5760;   *(undefined4 *)(l
Unknown	0x20	1	0x3f8000003f800000	hex_float	0176a9c0.c	)(lVar35 + 0xc) = 0x3f8000003f800000;   *(undefined8 *)(lVar35 + 0x20) = 0x3f8000003f800000;   *(undefined4 *)(l
Unknown	0x24	1	0x3f800000	hex_float	0120d5e0.c	if (bVar41) {                   *(undefined4 *)((longlong)local_48 + 0x24) = 0x3f800000;                   i
Unknown	0x24	9.9999997e-05	0x38d1b717	hex_float	0139d310.c	1c) = 0x38d1b717350637bd;               *(undefined4 *)((longlong)plVar23 + 0x24) = 0x38d1b717;               *(flo
