00f64680	_ASN1_INTEGER_dup
00f64690	_ASN1_INTEGER_cmp
00f646d0	_i2c_ASN1_INTEGER
00f64910	_c2i_ASN1_INTEGER
00f64dd0	_d2i_ASN1_UINTEGER
00f64f30	_ASN1_INTEGER_get_int64
00f650f0	_ASN1_INTEGER_set_int64
00f651a0	_ASN1_INTEGER_get_uint64
00f65310	_ASN1_INTEGER_set_uint64
00f65380	_ASN1_INTEGER_set
00f65430	_ASN1_INTEGER_get
00f65470	_BN_to_ASN1_INTEGER
00f655a0	_ASN1_INTEGER_to_BN
00f65630	_ASN1_ENUMERATED_get_int64
00f65640	_ASN1_ENUMERATED_set_int64
00f656f0	_ASN1_ENUMERATED_set
00f657a0	_ASN1_ENUMERATED_get
00f65800	_BN_to_ASN1_ENUMERATED
00f65810	_ASN1_ENUMERATED_to_BN
00f658a0	_c2i_uint64_int
00f65b50	_i2c_uint64_int
00f65e00	_ASN1_mbstring_copy
00f65e20	_ASN1_mbstring_ncopy
00f66890	_i2d_ASN1_OBJECT
00f66980	_a2d_ASN1_OBJECT
00f67040	_i2t_ASN1_OBJECT
00f67050	_i2a_ASN1_OBJECT
00f671e0	_d2i_ASN1_OBJECT
00f67270	_c2i_ASN1_OBJECT
00f675e0	_ASN1_OBJECT_free
00f67680	_ASN1_OBJECT_new
00f676d0	_ASN1_OBJECT_create
00f67700	_ASN1_OCTET_STRING_dup
00f67710	_ASN1_OCTET_STRING_cmp
00f67720	_ASN1_OCTET_STRING_set
00f67730	_ASN1_PRINTABLE_type
00f677d0	_ASN1_UNIVERSALSTRING_to_string
00f67930	_ASN1_STRING_print
00f67a30	_ASN1_sign
00f67da0	_ASN1_item_sign
00f67e50	_ASN1_item_sign_ctx
00f681b0	_X509_NAME_print_ex
00f686e0	_X509_NAME_print_ex_fp
00f687a0	_ASN1_STRING_print_ex
00f68b50	_ASN1_STRING_print_ex_fp
00f68b70	_ASN1_STRING_to_UTF8
00f69240	_ASN1_STRING_set_default_mask
00f69250	_ASN1_STRING_get_default_mask
00f69260	_ASN1_STRING_set_default_mask_asc
00f69340	_ASN1_STRING_set_by_NID
00f69440	_ASN1_STRING_TABLE_get
